tas,Q
24.86,11.425
24.81,11.372
24.81,11.663
24.63,11.852
24.64,11.504
24.86,11.564
24.6,11.683
24.45,11.794
24.64,11.638
25.16,11.47
24.8,11.75
24.98,11.746
24.84,11.806
24.98,11.228
24.9,11.812
24.97,11.984
24.81,11.736
24.74,11.721
25.11,11.691
24.86,11.971
24.89,11.794
24.68,11.996
24.83,11.871
24.97,12.005
24.95,11.993
24.94,11.852
24.87,11.796
25.18,12.103
25.11,11.869
24.96,11.751
24.93,11.853
24.5,12.21
24.59,12.239
24.98,11.804
24.98,12.167
24.72,12.349
25.04,11.912
25.05,11.922
25.02,12.218
25.19,12.192
24.86,11.779
24.65,12.203
24.86,12.14
25.16,12.056
25.07,12.059
25.14,12.067
25.38,12.103
25.18,11.842
25.16,12.077
24.93,12.427
24.89,11.987
24.89,12.073
24.87,12.292
25.12,12.296
25.04,11.974
24.86,12.298
24.99,12.355
25.25,12.431
25.07,12.137
24.82,11.752
24.71,11.939
25.08,12.324
24.89,12.541
25,12.186
24.93,12.438
25.17,12.137
24.95,11.997
24.69,12.232
24.87,12.215
24.78,12.256
24.85,12.319
24.96,12.013
24.94,12.218
24.97,12.451
24.66,11.974
24.57,12.205
24.71,12.489
25.07,12.189
24.91,12.08
24.75,12.096
